Episode 1: Score: 0, Total Reward: -10
Episode 2: Score: 0, Total Reward: -10
Episode 3: Score: 0, Total Reward: -10
Episode 4: Score: 0, Total Reward: -10
Episode 5: Score: 0, Total Reward: -10
Episode 6: Score: 0, Total Reward: -10
Episode 7: Score: 0, Total Reward: -10
Episode 8: Score: 0, Total Reward: -10
Episode 9: Score: 0, Total Reward: -10
Episode 10: Score: 0, Total Reward: -10
Episode 11: Score: 0, Total Reward: -10
Episode 12: Score: 1, Total Reward: 0
Episode 13: Score: 0, Total Reward: -10
Episode 14: Score: 0, Total Reward: -10
Episode 15: Score: 0, Total Reward: -10
Episode 16: Score: 0, Total Reward: -10
Episode 17: Score: 0, Total Reward: -10
Episode 18: Score: 0, Total Reward: -10
Episode 19: Score: 0, Total Reward: -10
Episode 20: Score: 0, Total Reward: -10
Episode 21: Score: 0, Total Reward: -10
Episode 22: Score: 0, Total Reward: -10
Episode 23: Score: 0, Total Reward: -10
Episode 24: Score: 0, Total Reward: -10
Episode 25: Score: 0, Total Reward: -10
Episode 26: Score: 3, Total Reward: 20
Episode 27: Score: 1, Total Reward: 0
Episode 28: Score: 0, Total Reward: -10
Episode 29: Score: 0, Total Reward: -10
Episode 30: Score: 0, Total Reward: -10
Episode 31: Score: 1, Total Reward: 0
Episode 32: Score: 0, Total Reward: -10
Episode 33: Score: 0, Total Reward: -10
Episode 34: Score: 0, Total Reward: -10
Episode 35: Score: 0, Total Reward: -10
Episode 36: Score: 0, Total Reward: -10
Episode 37: Score: 2, Total Reward: 10
Episode 38: Score: 0, Total Reward: -10
Episode 39: Score: 0, Total Reward: -10
Episode 40: Score: 0, Total Reward: -10
Episode 41: Score: 0, Total Reward: -10
Episode 42: Score: 0, Total Reward: -10
Episode 43: Score: 1, Total Reward: 0
Episode 44: Score: 0, Total Reward: -10
Episode 45: Score: 0, Total Reward: -10
Episode 46: Score: 0, Total Reward: -10
Episode 47: Score: 2, Total Reward: 10
Episode 48: Score: 0, Total Reward: -10
Episode 49: Score: 0, Total Reward: -10
Episode 50: Score: 0, Total Reward: -10
Episode 51: Score: 0, Total Reward: -10
Episode 52: Score: 0, Total Reward: -10
Episode 53: Score: 1, Total Reward: 0
Episode 54: Score: 0, Total Reward: -10
Episode 55: Score: 0, Total Reward: -10
Episode 56: Score: 3, Total Reward: 20
Episode 57: Score: 0, Total Reward: -10
Episode 58: Score: 1, Total Reward: 0
Episode 59: Score: 0, Total Reward: -10
Episode 60: Score: 0, Total Reward: -10
Episode 61: Score: 0, Total Reward: -10
Episode 62: Score: 1, Total Reward: 0
Episode 63: Score: 1, Total Reward: 0
Episode 64: Score: 0, Total Reward: -10
Episode 65: Score: 0, Total Reward: -10
Episode 66: Score: 0, Total Reward: -10
Episode 67: Score: 0, Total Reward: -10
Episode 68: Score: 0, Total Reward: -10
Episode 69: Score: 1, Total Reward: 0
Episode 70: Score: 1, Total Reward: 0
Episode 71: Score: 0, Total Reward: -10
Episode 72: Score: 0, Total Reward: -10
Episode 73: Score: 0, Total Reward: -10
Episode 74: Score: 0, Total Reward: -10
Episode 75: Score: 0, Total Reward: -10
Episode 76: Score: 0, Total Reward: -10
Episode 77: Score: 0, Total Reward: -10
Episode 78: Score: 0, Total Reward: -10
Episode 79: Score: 0, Total Reward: -10
Episode 80: Score: 0, Total Reward: -10
Episode 81: Score: 0, Total Reward: -10
Episode 82: Score: 0, Total Reward: -10
Episode 83: Score: 0, Total Reward: -10
Episode 84: Score: 0, Total Reward: -10
Episode 85: Score: 2, Total Reward: 10
Episode 86: Score: 1, Total Reward: 0
Episode 87: Score: 0, Total Reward: -10
Episode 88: Score: 1, Total Reward: 0
Episode 89: Score: 2, Total Reward: 10
Episode 90: Score: 0, Total Reward: -10
Episode 91: Score: 1, Total Reward: 0
Episode 92: Score: 0, Total Reward: -10
Episode 93: Score: 1, Total Reward: 0
Episode 94: Score: 0, Total Reward: -10
Episode 95: Score: 2, Total Reward: 10
Episode 96: Score: 0, Total Reward: -10
Episode 97: Score: 2, Total Reward: 10
Episode 98: Score: 0, Total Reward: -10
Episode 99: Score: 2, Total Reward: 10
Episode 100: Score: 0, Total Reward: -10
Episode 101: Score: 2, Total Reward: 10
Episode 102: Score: 0, Total Reward: -10
Episode 103: Score: 0, Total Reward: -10
Episode 104: Score: 0, Total Reward: -10
Episode 105: Score: 1, Total Reward: 0
Episode 106: Score: 2, Total Reward: 10
Episode 107: Score: 0, Total Reward: -10
Episode 108: Score: 0, Total Reward: -10
Episode 109: Score: 0, Total Reward: -10
Episode 110: Score: 0, Total Reward: -10
Episode 111: Score: 0, Total Reward: -10
Episode 112: Score: 0, Total Reward: -10
Episode 113: Score: 1, Total Reward: 0
Episode 114: Score: 0, Total Reward: -10
Episode 115: Score: 0, Total Reward: -10
Episode 116: Score: 0, Total Reward: -10
Episode 117: Score: 2, Total Reward: 10
Episode 118: Score: 2, Total Reward: 10
Episode 119: Score: 0, Total Reward: -10
Episode 120: Score: 0, Total Reward: -10
Episode 121: Score: 1, Total Reward: 0
Episode 122: Score: 0, Total Reward: -10
Episode 123: Score: 0, Total Reward: -10
Episode 124: Score: 0, Total Reward: -10
Episode 125: Score: 0, Total Reward: -10
Episode 126: Score: 0, Total Reward: -10
Episode 127: Score: 2, Total Reward: 10
Episode 128: Score: 4, Total Reward: 30
Episode 129: Score: 0, Total Reward: -10
Episode 130: Score: 0, Total Reward: -10
Episode 131: Score: 1, Total Reward: 0
Episode 132: Score: 0, Total Reward: -10
Episode 133: Score: 1, Total Reward: 0
Episode 134: Score: 0, Total Reward: -10
